# g=1.0
# kappa=1.0
# gamma=0.0
# Omega12=0.2
# rabi_b=1.5
# rabi_l=1.0
# detuning_bc=0.0
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,estado_2,estado_3,N_expect,X_expect,P_expect
11.246246246246246,(0.3241882028409804-1.2679655123106258e-15j),(0.1575767843061463-7.77942523677853e-15j),(0.15757678430617705+8.137415965552234e-15j),(0.36065822854673096+8.583802564011417e-16j),(7.174372938698068-6.063460539221091e-16j),(-3.2358229198106905+1.4419245016668398e-15j),(0.0585136898288761+1.6561048424279783e-14j)
11.26126126126126,(0.32420157836416386-1.1278796847842585e-15j),(0.15756419566720753-8.525472955654442e-15j),(0.1575641956672367+8.617560626468804e-15j),(0.3606700303014271+1.0087927214965718e-15j),(7.174935654695762-4.4230433250300804e-16j),(-3.235999301309849+1.4399480164588709e-15j),(0.0584854156628347+1.790931142400592e-14j)
11.276276276276276,(0.32421493849981514-9.556660121390771e-16j),(0.157551615122625-9.266039508148125e-15j),(0.1575516151226524+9.06020490104926e-15j),(0.3606818312549432+1.1598340663018996e-15j),(7.175495151975273-2.479423473323515e-16j),(-3.236174925643194+1.4268936108502366e-15j),(0.05845714345316648+1.9123636491914526e-14j)
11.29129129129129,(0.3242282832776999-7.577861404213822e-16j),(0.15753904266725288-9.99140749367154e-15j),(0.1575390426672783+9.463609344963313e-15j),(0.36069363138780514+1.3094798460170527e-15j),(7.176051449599559-3.1254080057661315e-17j),(-3.2363497972214055+1.4064191172143158e-15j),(0.05842887326430194+2.0159695852776938e-14j)
11.306306306306306,(0.32424161242249483-5.863531351507909e-16j),(0.15752647830332991-1.0650828362205202e-14j),(0.15752647830335378+9.836264844528108e-15j),(0.3607054309708582+1.4476039965877732e-15j),(7.176604522448639+1.4798229653206813e-16j),(-3.2365239095798817+1.3918686264277039e-15j),(0.05840060497488738+2.144408070981884e-14j)
11.32132132132132,(0.3242549262932158-3.98562209123189e-16j),(0.15751392201774078-1.1278865009545658e-14j),(0.15751392201776288+1.0165391512251154e-14j),(0.36071722967131753+1.580925238022705e-15j),(7.177154437267111+3.3765764348917604e-16j),(-3.236697278865767+1.3708148019605306e-15j),(0.058372338849849326+2.2685889455767005e-14j)
11.336336336336336,(0.32426822496030067-1.9478920608876262e-16j),(0.15750137380435514-1.1871269908031159e-14j),(0.15750137380437576+1.0447886095831652e-14j),(0.3607290274310062+1.708499154437157e-15j),(7.177701219007961+5.366813428069517e-16j),(-3.2368699109395274+1.3433682345519719e-15j),(0.05834407497838526+2.391091593793122e-14j)
11.35135135135135,(0.32428150849418735+2.4590030202304036e-17j),(0.15748883365704275-1.2423795529999956e-14j),(0.15748883365706162+1.0680645342968814e-14j),(0.3607408241917463+1.8293813299464445e-15j),(7.1782448926241695+7.439627764788289e-16j),(-3.2370418116616295+1.3106484635302815e-15j),(0.05831581344969263+2.5053515949932225e-14j)
11.366366366366366,(0.32429477696531445+2.591996559998253e-16j),(0.15747630156967318-1.2932194347790297e-14j),(0.1574763015696903+1.0860566001361823e-14j),(0.3607526198953608+1.942627348665879e-15j),(7.178785483068725+9.584113264981596e-16j),(-3.237212986892539+1.273063692601587e-15j),(0.05828755435296893+2.6158224790070756e-14j)
11.381381381381381,(0.3243080304441195+5.086638275536156e-16j),(0.15746377753611612-1.3392218833740425e-14j),(0.1574637775361318+1.0984544818709886e-14j),(0.36076441448367186+2.047292794710773e-15j),(7.179323015294604+1.1789363748583583e-15j),(-3.2373834424927215+1.2293883842052198e-15j),(0.05825929777741163+2.7240387307219272e-14j)
11.396396396396396,(0.32432126900104064+7.726067011134898e-16j),(0.15745126155024128-1.37996214601886e-14j),(0.15745126155025532+1.104947854271221e-14j),(0.3607762078985025+2.1424332521964367e-15j),(7.179857514254797+1.4044473035526774e-15j),(-3.2375531843226426+1.1793341103877498e-15j),(0.0582310438122182+2.8243862157633758e-14j)
11.411411411411411,(0.3243344927065161+1.0506524329292614e-15j),(0.15743875360591836-1.4150154699473054e-14j),(0.1574387536059309+1.1052263921067973e-14j),(0.36078800008167533+2.2271043052381838e-15j),(7.180389004902282+1.6338534945746548e-15j),(-3.237722218242769+1.1236957189259466e-15j),(0.058202792546586106+2.929611678844767e-14j)
