# g=0.0
# kappa=1.0
# gamma=0.0
# rabi_b=1.5
# rabi_l=None
# detuning_bc=0.0
# detuning_ca=0.0
# detuning_al=None
t,estado_0,estado_1,N_expect,X_expect,P_expect
0.6006006006006006,(0.9999999999999999+0j),0j,(0.6056149167167557+0j),(-1.1005588719551076+0j),-3.0013731429784876e-17j
0.6156156156156156,(1+0j),0j,(0.6317551597885501+0j),(-1.1240597478894994+0j),1.8253558040619454e-17j
0.6306306306306306,(1.0000000000000002+0j),0j,(0.6582460000268896+0j),(-1.1473848514531595+0j),-1.4404884402354648e-17j
0.6456456456456456,(1.0000000000000002+0j),0j,(0.6850766765739975+0j),(-1.1705354973173543+0j),1.1743627709633439e-17j
0.6606606606606606,(1.0000000000000002+0j),0j,(0.7122366303454347+0j),(-1.1935129903204007+0j),6.586367279885521e-17j
0.6756756756756757,(1+0j),0j,(0.7397155007126678+0j),(-1.2163186255412153+0j),-9.575680822939189e-18j
0.6906906906906907,(1+0j),0j,(0.7675031222394338+0j),(-1.238953688372302+0j),9.228881795042055e-17j
0.7057057057057057,(1.0000000000000004+0j),0j,(0.7955895214659494+0j),(-1.2614194545922093+0j),1.2504570328041276e-16j
0.7207207207207207,(1.0000000000000002+0j),0j,(0.8239649137473554+0j),(-1.2837171904374258+0j),1.4706955008949836e-16j
0.7357357357357357,(1.0000000000000002+0j),0j,(0.8526197001367014+0j),(-1.305848152673763+0j),4.301523180013943e-17j
0.7507507507507507,(1.0000000000000004+0j),0j,(0.8815444643222357+0j),(-1.3278135886671731+0j),8.09154897781738e-17j
0.7657657657657657,(1.0000000000000002+0j),0j,(0.9107299696064871+0j),(-1.3496147364540725+0j),3.296119752740834e-17j
0.7807807807807807,(1+0j),0j,(0.9401671559378943+0j),(-1.371252824811107+0j),-6.581323048984239e-18j
0.7957957957957957,(1.0000000000000002+0j),0j,(0.9698471369855203+0j),(-1.3927290733244182+0j),-5.410430042039729e-17j
0.8108108108108109,(1+0j),0j,(0.9997611972614892+0j),(-1.4140446924583752+0j),-2.533943062955174e-17j
