# g=1.0
# kappa=1.0
# gamma=0.5
# rabi_b=1.5
# rabi_l=1.0
# detuning_bc=0.0
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,N_expect,X_expect,P_expect
0.39039039039039036,(0.9217083776657052+0j),(0.0782916223342944+0j),(0.23628164090472908+0j),(-0.6873227323128447+0j),-4.952262051702278e-18j
0.40540540540540543,(0.9141784298652925+0j),(0.08582157013470715+0j),(0.2508153270557001+0j),(-0.7081215204500035+0j),-1.430916824803496e-17j
0.42042042042042044,(0.9062497799958226+0j),(0.09375022000417711+0j),(0.26549900329043874+0j),(-0.728525341101447+0j),-2.0785151953324994e-17j
0.43543543543543545,(0.897922688701937+0j),(0.10207731129806273+0j),(0.28031356039199457+0j),(-0.7485396497551827+0j),-1.4614974328708203e-17j
0.45045045045045046,(0.8891986938078271+0j),(0.11080130619217238+0j),(0.29524127516810234+0j),(-0.7681703620231358+0j),-6.146561055298895e-17j
0.46546546546546547,(0.880080645989105+0j),(0.11991935401089472+0j),(0.31026584602481927+0j),(-0.7874238550053693+0j),-2.932327187848978e-17j
0.4804804804804805,(0.8705727410009982+0j),(0.12942725899900157+0j),(0.3253724258059203+0j),(-0.8063069673625052+0j),-6.112750458574238e-17j
0.4954954954954955,(0.8606805465483931+0j),(0.1393194534516067+0j),(0.3405476501899431+0j),(-0.8248269976428345+0j),-8.143338947687176e-18j
0.5105105105105106,(0.8504110255698842+0j),(0.14958897443011535+0j),(0.3557796632119437+0j),(-0.8429917013005342+0j),-5.5371853494482874e-17j
0.5255255255255256,(0.8397725538267611+0j),(0.16022744617323842+0j),(0.3710581380301421+0j),(-0.8608092859036822+0j),-2.9427067876329505e-17j
0.5405405405405406,(0.8287749325403431+0j),(0.17122506745965668+0j),(0.38637429357411496+0j),(-0.8782884047405455+0j),-3.5163282230210065e-17j
0.5555555555555556,(0.8174293954053254+0j),(0.1825706045946742+0j),(0.40172090648630854+0j),(-0.8954381486506673+0j),3.60285624561183e-17j
0.5705705705705706,(0.8057486097316541+0j),(0.19425139026834562+0j),(0.4170923180719618+0j),(-0.9122680360997414+0j),3.6966378088961967e-17j
0.5855855855855856,(0.7937466721348886+0j),(0.20625332786511122+0j),(0.43248443669565123+0j),(-0.9287880015208354+0j),-1.009548050163058e-17j
0.6006006006006006,(0.7814390969563285+0j),(0.2185609030436711+0j),(0.4478947338546556+0j),(-0.94500838166855+0j),-6.897979390982481e-19j
0.6156156156156156,(0.7688427996093208+0j),(0.23115720039067894+0j),(0.463322236039511+0j),(-0.9609399003243725+0j),-9.705660720478932e-19j
0.6306306306306306,(0.7559760719717115+0j),(0.24402392802828807+0j),(0.4787675095588865+0j),(-0.9765936509744579+0j),1.4746326696740411e-18j
0.6456456456456456,(0.7428585524369055+0j),(0.25714144756309426+0j),(0.494232640900707+0j),(-0.9919810777896809+0j),-2.952936971561973e-17j
0.6606606606606606,(0.7295111879489004+0j),(0.2704888120510993+0j),(0.509721209923516+0j),(-1.0071139546543284+0j),-9.646968099000242e-18j
0.6756756756756757,(0.7159561901988155+0j),(0.28404380980118404+0j),(0.5252382580625858+0j),(-1.022004362470911+0j),-5.8588430712129805e-18j
0.6906906906906907,(0.7022169842248444+0j),(0.2977830157751553+0j),(0.5407902497240119+0j),(-1.03666466462965+0j),5.723238145239948e-17j
0.7057057057057057,(0.6883181506151014+0j),(0.3116818493848982+0j),(0.556385028056253+0j),(-1.0511074807823835+0j),4.9277270434868616e-17j
0.7207207207207207,(0.6742853605272459+0j),(0.325714639472754+0j),(0.5720317642186054+0j),(-1.0653456589442833+0j),-3.1537145395943216e-17j
0.7357357357357357,(0.6601453043841657+0j),(0.3398546956158339+0j),(0.587740901055225+0j),(-1.0793922459587162+0j),5.589007366765146e-17j
0.7507507507507507,(0.6459256136666724+0j),(0.3540743863333273+0j),(0.6035240904504705+0j),(-1.0932604564270503+0j),4.360067497236856e-17j
0.7657657657657657,(0.6316547763178206+0j),(0.36834522368217887+0j),(0.619394124837578+0j),(-1.1069636402064007+0j),-4.116906287928956e-19j
0.7807807807807807,(0.6173620462103198+0j),(0.38263795378967996+0j),(0.6353648632421027+0j),(-1.1205152486015566+0j),-2.7853795335679845e-17j
0.7957957957957957,(0.6030773463581011+0j),(0.3969226536418987+0j),(0.6514511515356631+0j),(-1.1339287992232785+0j),-1.0577926523362297e-16j
0.8108108108108109,(0.5888311666383955+0j),(0.41116883336160426+0j),(0.667668737483516+0j),(-1.14721783979943+0j),-5.0132660703473266e-18j
0.8258258258258259,(0.5746544564642497+0j),(0.4253455435357502+0j),(0.6840341809844899+0j),(-1.1603959110323259+0j),-6.205610779988477e-17j
0.8408408408408409,(0.5605785117070748+0j),(0.4394214882929249+0j),(0.7005647588091511+0j),(-1.173476508404059+0j),-6.864106896940779e-17j
0.8558558558558559,(0.5466348588259602+0j),(0.4533651411740395+0j),(0.7172783664803424+0j),(-1.1864730436462405+0j),-9.885794589065415e-17j
0.8708708708708709,(0.5328551330950853+0j),(0.46714486690491447+0j),(0.734193414341158+0j),(-1.199398805278532+0j),-5.84950535376526e-17j
0.8858858858858859,(0.5192709543797976+0j),(0.4807290456202021+0j),(0.7513287210195996+0j),(-1.2122669189389375+0j),-2.4150313565182247e-17j
0.9009009009009009,(0.5059138006105015+0j),(0.49408619938949816+0j),(0.7687034043354911+0j),(-1.2250903076188446+0j),-2.0554022836766045e-17j
0.9159159159159159,(0.4928148773068738+0j),(0.5071851226931261+0j),(0.7863367679240403+0j),(-1.2378816516340072+0j),2.79165749987298e-17j
0.9309309309309309,(0.48000498679143566+0j),(0.5199950132085642+0j),(0.8042481871589803+0j),(-1.2506533489029532+0j),-2.4838415011840114e-17j
0.9459459459459459,(0.4675143955919832+0j),(0.5324856044080163+0j),(0.8224569927408192+0j),(-1.263417475438088+0j),1.6982425912401264e-17j
0.960960960960961,(0.45537270147243164+0j),(0.544627298527568+0j),(0.8409823530958223+0j),(-1.2761857465152362+0j),1.004698767260059e-16j
0.975975975975976,(0.44360870128979246+0j),(0.5563912987102075+0j),(0.8598431569993928+0j),(-1.2889694784929975+0j),6.039469793204985e-17j
0.990990990990991,(0.4322502591337014+0j),(0.5677497408662985+0j),(0.8790578957310146+0j),(-1.3017795513396007+0j),4.684799155742241e-17j
1.006006006006006,(0.4213241768993599+0j),(0.5786758231006398+0j),(0.8986445461213785+0j),(-1.3146263728684666+0j),7.599562269498016e-17j
1.021021021021021,(0.410856066838573+0j),(0.5891439331614267+0j),(0.9186204552380086+0j),(-1.3275198435477227+0j),1.799002588655078e-16j
1.0360360360360361,(0.40087022744930345+0j),(0.5991297725506964+0j),(0.9390022267162434+0j),(-1.3404693232729736+0j),8.911541614048023e-17j
1.0510510510510511,(0.3913895233707239+0j),(0.6086104766292758+0j),(0.959805609979654+0j),(-1.3534835996813916+0j),1.33315885477972e-16j
1.0660660660660661,(0.3824352687902178+0j),(0.617564731209782+0j),(0.9810453916358789+0j),(-1.3665708580619653+0j),1.0290352487740902e-16j
1.0810810810810811,(0.3740271229981981+0j),(0.6259728770018015+0j),(1.0027352971597012+0j),(-1.3797386550097983+0j),1.4643429001656e-16j
1.0960960960960962,(0.3661829746241433+0j),(0.633817025375856+0j),(1.0248878807137793+0j),(-1.3929938898994942+0j),1.8551756337090414e-16j
1.1111111111111112,(0.35891885671009793+0j),(0.6410811432899017+0j),(1.0475144426635472+0j),(-1.4063427848503847+0j),2.1248255884452086e-16j
1.1261261261261262,(0.35224885272896833+0j),(0.6477511472710314+0j),(1.0706249375389056+0j),(-1.4197908629174927+0j),1.9622845700243934e-16j
1.1411411411411412,(0.34618501394562246+0j),(0.6538149860543769+0j),(1.0942278911679948+0j),(-1.4333429298855747+0j),2.276358162981017e-16j
1.1561561561561562,(0.3407372873946886+0j),(0.659262712605311+0j),(1.1183303265385502+0j),(-1.4470030593171337+0j),2.854322606338057e-16j
1.1711711711711712,(0.33591345279135393+0j),(0.6640865472086456+0j),(1.142937696756358+0j),(-1.4607745804203731+0j),2.5385382957992804e-16j
1.1861861861861862,(0.33171906947465896+0j),(0.6682809305253407+0j),(1.1680538261833333+0j),(-1.4746600689600307+0j),2.864742420269405e-16j
1.2012012012012012,(0.3281574323084747+0j),(0.6718425676915251+0j),(1.1936808584747052+0j),(-1.4886613410450882+0j),3.650543285739381e-16j
1.2162162162162162,(0.32522953976044683+0j),(0.6747704602395526+0j),(1.2198192149151978+0j),(-1.502779450393814+0j),2.521973842466432e-16j
