# g=1.0
# kappa=1.0
# gamma=0.5
# rabi_b=None
# rabi_l=1.5
# detuning_bc=None
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,N_expect,X_expect,P_expect
0.2852852852852853,(0.9590753040767185+0j),(0.04092469592328131+0j),(0.0007896302264111514+0j),(0.0393500183352151+0j),3.4164347288111215e-18j
0.3003003003003003,(0.9550196932888337+0j),(0.044980306711166075+0j),(0.0009598843428306055+0j),(0.04334019718989912+0j),6.941289630098332e-18j
0.3153153153153153,(0.9508195055389204+0j),(0.04918049446107939+0j),(0.001155083366108642+0j),(0.04749144532375093+0j),6.938893903907227e-18j
0.3303303303303303,(0.9464820231327132+0j),(0.05351797686728664+0j),(0.0013772471991930994+0j),(0.051798975199244535+0j),3.471842902007038e-18j
0.34534534534534533,(0.9420146083282859+0j),(0.05798539167171388+0j),(0.0016284169549450867+0j),(0.05625795658904634+0j),3.5778673482920174e-18j
0.36036036036036034,(0.9374246904154845+0j),(0.06257530958451524+0j),(0.00191064734794683+0j),(0.06086352214716806+0j),7.047314479335487e-18j
0.37537537537537535,(0.9327197534927649+0j),(0.067280246507235+0j),(0.00222600074677304+0j),(0.06561077305948715+0j),7.264154913832573e-18j
0.39039039039039036,(0.9279073239957044+0j),(0.07209267600429548+0j),(0.0025765410541175554+0j),(0.07049478478603424+0j),4.336812271739382e-19j
0.40540540540540543,(0.9229949569987361+0j),(0.07700504300126379+0j),(0.0029643258007133423+0j),(0.07551061298862703+0j),7.372575489260878e-18j
0.42042042042042044,(0.9179902243638386+0j),(0.08200977563616126+0j),(0.0033914006081982844+0j),(0.08065329908610917+0j),7.382157856755704e-18j
0.43543543543543545,(0.9129007047113654+0j),(0.08709929528863446+0j),(0.003859795057450519+0j),(0.08591787517001097+0j),1.4330636277236048e-17j
0.45045045045045046,(0.9077339690388688+0j),(0.09226603096113108+0j),(0.004371515065149823+0j),(0.0912993704065553+0j),7.38215928947455e-18j
0.46546546546546547,(0.9024975692014711+0j),(0.09750243079852872+0j),(0.004928537685890208+0j),(0.09679281649852058+0j),2.0826267661015417e-17j
0.4804804804804805,(0.8971990285309038+0j),(0.10280097146909593+0j),(0.005532805695476873+0j),(0.10239325185848178+0j),2.0816681711723263e-17j
0.4954954954954955,(0.8918458299114803+0j),(0.10815417008851971+0j),(0.006186222452964911+0j),(0.1080957273193967+0j),2.0816681711722862e-17j
0.5105105105105106,(0.8864454038315304+0j),(0.11355459616846947+0j),(0.006890646970433041+0j),(0.11389531191903059+0j),2.0816681711721685e-17j
0.5255255255255256,(0.8810051186971742+0j),(0.11899488130282568+0j),(0.007647889134516+0j),(0.11978709742810822+0j),2.0835836417676247e-17j
0.5405405405405406,(0.8755322715761261+0j),(0.1244677284238738+0j),(0.00845970525151879+0j),(0.1257662027210126+0j),2.0816681711720024e-17j
0.5555555555555556,(0.8700340766148513+0j),(0.12996592338514845+0j),(0.009327793470523609+0j),(0.13182777945865043+0j),2.7755575615628858e-17j
0.5705705705705706,(0.8645176558497378+0j),(0.13548234415026222+0j),(0.010253789701435345+0j),(0.137967016528915+0j),1.301040314633362e-17j
0.5855855855855856,(0.858990031451759+0j),(0.14100996854824083+0j),(0.011239264234550706+0j),(0.1441791438526873+0j),2.7755552692133326e-17j
0.6006006006006006,(0.853458115619654+0j),(0.14654188438034585+0j),(0.012285717673291216+0j),(0.1504594373663762+0j),1.3877719037321935e-17j
0.6156156156156156,(0.8479287018631247+0j),(0.15207129813687512+0j),(0.01339457745382236+0j),(0.15680322336459912+0j),1.466848487496803e-17j
0.6306306306306306,(0.842408457735639+0j),(0.15759154226436087+0j),(0.014567195005680222+0j),(0.16320588218364143+0j),1.474514954580286e-17j
0.6456456456456456,(0.8369039173081424+0j),(0.16309608269185735+0j),(0.015804842921631198+0j),(0.16966285204110104+0j),1.4745149545776735e-17j
0.6606606606606606,(0.8314214728626868+0j),(0.16857852713731317+0j),(0.01710871193118193+0j),(0.17616963327668467+0j),1.3877787807763088e-17j
0.6756756756756757,(0.8259673683549738+0j),(0.17403263164502622+0j),(0.01847990860023904+0j),(0.18272179176822886+0j),2.688830557149267e-17j
0.6906906906906907,(0.820547693560743+0j),(0.17945230643925686+0j),(0.01991945321841349+0j),(0.18931496199143316+0j),1.3877971195670242e-17j
0.7057057057057057,(0.8151683771040331+0j),(0.1848316228959668+0j),(0.021428277724976266+0j),(0.19594485077412424+0j),1.3878062889725237e-17j
0.7207207207207207,(0.8098351808139252+0j),(0.19016481918607459+0j),(0.02300722399361649+0j),(0.20260724036135175+0j),1.2296852143324787e-17j
