# g=1.0
# kappa=1.0
# gamma=0.0
# rabi_b=None
# rabi_l=1.5
# detuning_bc=None
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,N_expect,X_expect,P_expect
0.40540540540540543,(0.9149118591648885+0j),(0.08508814083511106+0j),(0.0031712593193759715+0j),(0.07800722114185973+0j),2.422104198178027e-32j
0.42042042042042044,(0.9090542322570233+0j),(0.0909457677429764+0j),(0.003637120465361693+0j),(0.08341136160936423+0j),-7.382159289474403e-18j
0.43543543543543545,(0.903061859125123+0j),(0.09693814087487655+0j),(0.004149673381220483+0j),(0.08895239781428119+0j),-2.3600660220554447e-19j
0.45045045045045046,(0.8969421419293828+0j),(0.10305785807061676+0j),(0.004711409915708651+0j),(0.09462536946009517+0j),-2.1684186721575165e-19j
0.46546546546546547,(0.8907025881245876+0j),(0.1092974118754121+0j),(0.005324811539661513+0j),(0.10042527919715512+0j),-7.37258623465102e-18j
0.4804804804804805,(0.8843508054823931+0j),(0.11564919451760645+0j),(0.005992344984261667+0j),(0.10634709534442618+0j),-7.41091857006772e-18j
0.4954954954954955,(0.8778944835737952+0j),(0.12210551642620442+0j),(0.0067164544026316105+0j),(0.11238576014007737+0j),-1.431148013855706e-17j
0.5105105105105106,(0.8713413805033109+0j),(0.12865861949668872+0j),(0.007499555033077947+0j),(0.11853619583826495+0j),-7.825433271352577e-18j
0.5255255255255256,(0.8646993133807198+0j),(0.13530068661927994+0j),(0.008344028092785527+0j),(0.12479330925776888+0j),1.1461750852726946e-23j
0.5405405405405406,(0.8579761474328024+0j),(0.1420238525671973+0j),(0.009252215418380963+0j),(0.13115199688043827+0j),-4.719902809112136e-19j
0.5555555555555556,(0.8511797802761556+0j),(0.14882021972384407+0j),(0.010226412694734044+0j),(0.13760715194633408+0j),-3.8320873672556234e-20j
0.5705705705705706,(0.844318131140943+0j),(0.15568186885905674+0j),(0.011268864422642676+0j),(0.14415366948546074+0j),-1.1501992973920604e-19j
0.5855855855855856,(0.8373991315026047+0j),(0.16260086849739516+0j),(0.012381759762257485+0j),(0.1507864507277998+0j),-1.5335226516293225e-19j
0.6006006006006006,(0.8304307107659952+0j),(0.16956928923400458+0j),(0.013567226378402708+0j),(0.15750040961012485+0j),-1.5335226516924314e-19j
0.6156156156156156,(0.8234207846281085+0j),(0.1765792153718911+0j),(0.014827325565205713+0j),(0.16429047813468017+0j),6.372760314813908e-19j
0.6306306306306306,(0.8163772449681993+0j),(0.18362275503180042+0j),(0.016164048187139016+0j),(0.17115161106162816+0j),1.5046377694702353e-18j
0.6456456456456456,(0.809307948626947+0j),(0.19069205137305265+0j),(0.01757931025072676+0j),(0.17807879107076172+0j),1.5813941343111156e-18j
0.6606606606606606,(0.8022207049241014+0j),(0.1977792950758984+0j),(0.01907494803332593+0j),(0.18506703445875666+0j),6.373218784854081e-19j
0.6756756756756757,(0.7951232654917957+0j),(0.2048767345082039+0j),(0.020652714335233652+0j),(0.19211139583202674+0j),2.44848079023463e-18j
